"","org","category","type","expense name","description","expectedattendees","event off campus","collabhso","collabrso","speaker","eventtotal","eventsplanned","actual","attendactual","eventsactual","externalreceived","totalrollover","date","amount"
"1","Latin American Matters (LAM)","speaker","refreshments","LAM Forum","13th Annual Latin American Matters (LAM) Forum - Shaping the Future: Climate Resilience, Energy Transition in Latin America
April 17, 2025

The 13th edition of the Annual Latin American Matters (LAM) Forum will take place on April 17, 2025, under the timely and urgent theme ""Shaping the Future: Climate Resilience, Energy Transition in Latin America."" This year’s forum will bring together students, scholars, policymakers, and practitioners to discuss the region’s evolving response to climate change and its shift toward renewable energy. Through panels, keynote talks, and open discussions, the forum aims to explore innovative policy solutions, regional cooperation, and sustainable development strategies that can drive meaningful change across Latin America.",70,"FALSE","FALSE","EPIC and GC","The forum will feature at least twelve speakers, primarily from Latin America, including women and members of underrepresented groups",700,1,1350,100,1,8000,9700.35,NA,400
"2","Latin American Matters (LAM)","speaker","supplies","LAM Forum","13th Annual Latin American Matters (LAM) Forum - Shaping the Future: Climate Resilience, Energy Transition in Latin America
April 17, 2025

The 13th edition of the Annual Latin American Matters (LAM) Forum will take place on April 17, 2025, under the timely and urgent theme ""Shaping the Future: Climate Resilience, Energy Transition in Latin America."" This year’s forum will bring together students, scholars, policymakers, and practitioners to discuss the region’s evolving response to climate change and its shift toward renewable energy. Through panels, keynote talks, and open discussions, the forum aims to explore innovative policy solutions, regional cooperation, and sustainable development strategies that can drive meaningful change across Latin America.",70,"FALSE","FALSE","EPIC and GC","The forum will feature at least twelve speakers, primarily from Latin America, including women and members of underrepresented groups",700,1,1350,100,1,8000,9700.35,NA,50
"3","Latin American Matters (LAM)","speaker","equipment","LAM Forum","13th Annual Latin American Matters (LAM) Forum - Shaping the Future: Climate Resilience, Energy Transition in Latin America
April 17, 2025

The 13th edition of the Annual Latin American Matters (LAM) Forum will take place on April 17, 2025, under the timely and urgent theme ""Shaping the Future: Climate Resilience, Energy Transition in Latin America."" This year’s forum will bring together students, scholars, policymakers, and practitioners to discuss the region’s evolving response to climate change and its shift toward renewable energy. Through panels, keynote talks, and open discussions, the forum aims to explore innovative policy solutions, regional cooperation, and sustainable development strategies that can drive meaningful change across Latin America.",70,"FALSE","FALSE","EPIC and GC","The forum will feature at least twelve speakers, primarily from Latin America, including women and members of underrepresented groups",700,1,1350,100,1,8000,9700.35,NA,NA
"4","Latin American Matters (LAM)","speaker","services","LAM Forum","13th Annual Latin American Matters (LAM) Forum - Shaping the Future: Climate Resilience, Energy Transition in Latin America
April 17, 2025

The 13th edition of the Annual Latin American Matters (LAM) Forum will take place on April 17, 2025, under the timely and urgent theme ""Shaping the Future: Climate Resilience, Energy Transition in Latin America."" This year’s forum will bring together students, scholars, policymakers, and practitioners to discuss the region’s evolving response to climate change and its shift toward renewable energy. Through panels, keynote talks, and open discussions, the forum aims to explore innovative policy solutions, regional cooperation, and sustainable development strategies that can drive meaningful change across Latin America.",70,"FALSE","FALSE","EPIC and GC","The forum will feature at least twelve speakers, primarily from Latin America, including women and members of underrepresented groups",700,1,1350,100,1,8000,9700.35,NA,250
"5","Latin American Matters (LAM)","speaker","miscellaneous","LAM Forum","13th Annual Latin American Matters (LAM) Forum - Shaping the Future: Climate Resilience, Energy Transition in Latin America
April 17, 2025

The 13th edition of the Annual Latin American Matters (LAM) Forum will take place on April 17, 2025, under the timely and urgent theme ""Shaping the Future: Climate Resilience, Energy Transition in Latin America."" This year’s forum will bring together students, scholars, policymakers, and practitioners to discuss the region’s evolving response to climate change and its shift toward renewable energy. Through panels, keynote talks, and open discussions, the forum aims to explore innovative policy solutions, regional cooperation, and sustainable development strategies that can drive meaningful change across Latin America.",70,"FALSE","FALSE","EPIC and GC","The forum will feature at least twelve speakers, primarily from Latin America, including women and members of underrepresented groups",700,1,1350,100,1,8000,9700.35,NA,NA
"6","Anticaste Policy Students Forum","speaker","refreshments","Caste and Labor Intersectionality: Gender, Religion, and Economic Marginalization","Join us for a panel discussion hosted by the Anti-Caste Policy Students Forum (ACPF) in collaboration with the South Asian Students and Policy Association (SASPA) at the Harris School of Public Policy, University of Chicago, on March 25th. This event will explore the intersection of caste, labor, and socio-economic structures, with a focus on gender and religious minorities. Featuring Prof. Ayra Idrias Patras (Pakistan) and Dr. Ansari(India), the panel will shed light on caste-based labor exploitation, democratic deepening, and anti-caste movements across South Asia and beyond.",45,"FALSE","1.0","FALSE","TRUE",650,4,1332,NA,4,0,-26,NA,450
"7","Anticaste Policy Students Forum","speaker","supplies","Caste and Labor Intersectionality: Gender, Religion, and Economic Marginalization","Join us for a panel discussion hosted by the Anti-Caste Policy Students Forum (ACPF) in collaboration with the South Asian Students and Policy Association (SASPA) at the Harris School of Public Policy, University of Chicago, on March 25th. This event will explore the intersection of caste, labor, and socio-economic structures, with a focus on gender and religious minorities. Featuring Prof. Ayra Idrias Patras (Pakistan) and Dr. Ansari(India), the panel will shed light on caste-based labor exploitation, democratic deepening, and anti-caste movements across South Asia and beyond.",45,"FALSE","1.0","FALSE","TRUE",650,4,1332,NA,4,0,-26,NA,40
"8","Anticaste Policy Students Forum","speaker","equipment","Caste and Labor Intersectionality: Gender, Religion, and Economic Marginalization","Join us for a panel discussion hosted by the Anti-Caste Policy Students Forum (ACPF) in collaboration with the South Asian Students and Policy Association (SASPA) at the Harris School of Public Policy, University of Chicago, on March 25th. This event will explore the intersection of caste, labor, and socio-economic structures, with a focus on gender and religious minorities. Featuring Prof. Ayra Idrias Patras (Pakistan) and Dr. Ansari(India), the panel will shed light on caste-based labor exploitation, democratic deepening, and anti-caste movements across South Asia and beyond.",45,"FALSE","1.0","FALSE","TRUE",650,4,1332,NA,4,0,-26,NA,NA
"9","Anticaste Policy Students Forum","speaker","services","Caste and Labor Intersectionality: Gender, Religion, and Economic Marginalization","Join us for a panel discussion hosted by the Anti-Caste Policy Students Forum (ACPF) in collaboration with the South Asian Students and Policy Association (SASPA) at the Harris School of Public Policy, University of Chicago, on March 25th. This event will explore the intersection of caste, labor, and socio-economic structures, with a focus on gender and religious minorities. Featuring Prof. Ayra Idrias Patras (Pakistan) and Dr. Ansari(India), the panel will shed light on caste-based labor exploitation, democratic deepening, and anti-caste movements across South Asia and beyond.",45,"FALSE","1.0","FALSE","TRUE",650,4,1332,NA,4,0,-26,NA,150
"10","Anticaste Policy Students Forum","speaker","miscellaneous","Caste and Labor Intersectionality: Gender, Religion, and Economic Marginalization","Join us for a panel discussion hosted by the Anti-Caste Policy Students Forum (ACPF) in collaboration with the South Asian Students and Policy Association (SASPA) at the Harris School of Public Policy, University of Chicago, on March 25th. This event will explore the intersection of caste, labor, and socio-economic structures, with a focus on gender and religious minorities. Featuring Prof. Ayra Idrias Patras (Pakistan) and Dr. Ansari(India), the panel will shed light on caste-based labor exploitation, democratic deepening, and anti-caste movements across South Asia and beyond.",45,"FALSE","1.0","FALSE","TRUE",650,4,1332,NA,4,0,-26,NA,10
