"","org","category","type","expense name","expenditureactual","description","expectedattendees","event off campus","collabhso","collabrso","speaker","eventsplanned","attendactual","eventsactual","rollover","externalreceived","totalrollover","date","amount"
"1","Latin American Matters (LAM)","speaker","refreshments","Brazilian Carnival",1350,NA,NA,NA,NA,NA,NA,NA,100,1,1700.35,8000,9700.35,NA,NA
"2","Latin American Matters (LAM)","speaker","supplies","Brazilian Carnival",1350,NA,NA,NA,NA,NA,NA,NA,100,1,1700.35,8000,9700.35,NA,NA
"3","Latin American Matters (LAM)","speaker","equipment","Brazilian Carnival",1350,NA,NA,NA,NA,NA,NA,NA,100,1,1700.35,8000,9700.35,NA,NA
"4","Latin American Matters (LAM)","speaker","services","Brazilian Carnival",1350,NA,NA,NA,NA,NA,NA,NA,100,1,1700.35,8000,9700.35,NA,NA
"5","Latin American Matters (LAM)","speaker","miscellaneous","Brazilian Carnival",1350,NA,NA,NA,NA,NA,NA,NA,100,1,1700.35,8000,9700.35,NA,NA
"6","Latin American Matters (LAM)","conference","refreshments","LAM Forum",NA,"13th Annual Latin American Matters (LAM) Forum - Shaping the Future: Climate Resilience, Energy Transition in Latin America
April 17, 2025

The 13th edition of the Annual Latin American Matters (LAM) Forum will take place on April 17, 2025, under the timely and urgent theme ""Shaping the Future: Climate Resilience, Energy Transition in Latin America."" This year’s forum will bring together students, scholars, policymakers, and practitioners to discuss the region’s evolving response to climate change and its shift toward renewable energy. Through panels, keynote talks, and open discussions, the forum aims to explore innovative policy solutions, regional cooperation, and sustainable development strategies that can drive meaningful change across Latin America.",70,"FALSE","FALSE","EPIC and GC","The forum will feature at least twelve speakers, primarily from Latin America, including women and members of underrepresented groups",1,100,1,1700.35,8000,9700.35,NA,400
"7","Latin American Matters (LAM)","conference","supplies","LAM Forum",NA,"13th Annual Latin American Matters (LAM) Forum - Shaping the Future: Climate Resilience, Energy Transition in Latin America
April 17, 2025

The 13th edition of the Annual Latin American Matters (LAM) Forum will take place on April 17, 2025, under the timely and urgent theme ""Shaping the Future: Climate Resilience, Energy Transition in Latin America."" This year’s forum will bring together students, scholars, policymakers, and practitioners to discuss the region’s evolving response to climate change and its shift toward renewable energy. Through panels, keynote talks, and open discussions, the forum aims to explore innovative policy solutions, regional cooperation, and sustainable development strategies that can drive meaningful change across Latin America.",70,"FALSE","FALSE","EPIC and GC","The forum will feature at least twelve speakers, primarily from Latin America, including women and members of underrepresented groups",1,100,1,1700.35,8000,9700.35,NA,50
"8","Latin American Matters (LAM)","conference","equipment","LAM Forum",NA,"13th Annual Latin American Matters (LAM) Forum - Shaping the Future: Climate Resilience, Energy Transition in Latin America
April 17, 2025

The 13th edition of the Annual Latin American Matters (LAM) Forum will take place on April 17, 2025, under the timely and urgent theme ""Shaping the Future: Climate Resilience, Energy Transition in Latin America."" This year’s forum will bring together students, scholars, policymakers, and practitioners to discuss the region’s evolving response to climate change and its shift toward renewable energy. Through panels, keynote talks, and open discussions, the forum aims to explore innovative policy solutions, regional cooperation, and sustainable development strategies that can drive meaningful change across Latin America.",70,"FALSE","FALSE","EPIC and GC","The forum will feature at least twelve speakers, primarily from Latin America, including women and members of underrepresented groups",1,100,1,1700.35,8000,9700.35,NA,NA
"9","Latin American Matters (LAM)","conference","services","LAM Forum",NA,"13th Annual Latin American Matters (LAM) Forum - Shaping the Future: Climate Resilience, Energy Transition in Latin America
April 17, 2025

The 13th edition of the Annual Latin American Matters (LAM) Forum will take place on April 17, 2025, under the timely and urgent theme ""Shaping the Future: Climate Resilience, Energy Transition in Latin America."" This year’s forum will bring together students, scholars, policymakers, and practitioners to discuss the region’s evolving response to climate change and its shift toward renewable energy. Through panels, keynote talks, and open discussions, the forum aims to explore innovative policy solutions, regional cooperation, and sustainable development strategies that can drive meaningful change across Latin America.",70,"FALSE","FALSE","EPIC and GC","The forum will feature at least twelve speakers, primarily from Latin America, including women and members of underrepresented groups",1,100,1,1700.35,8000,9700.35,NA,250
"10","Latin American Matters (LAM)","conference","miscellaneous","LAM Forum",NA,"13th Annual Latin American Matters (LAM) Forum - Shaping the Future: Climate Resilience, Energy Transition in Latin America
April 17, 2025

The 13th edition of the Annual Latin American Matters (LAM) Forum will take place on April 17, 2025, under the timely and urgent theme ""Shaping the Future: Climate Resilience, Energy Transition in Latin America."" This year’s forum will bring together students, scholars, policymakers, and practitioners to discuss the region’s evolving response to climate change and its shift toward renewable energy. Through panels, keynote talks, and open discussions, the forum aims to explore innovative policy solutions, regional cooperation, and sustainable development strategies that can drive meaningful change across Latin America.",70,"FALSE","FALSE","EPIC and GC","The forum will feature at least twelve speakers, primarily from Latin America, including women and members of underrepresented groups",1,100,1,1700.35,8000,9700.35,NA,NA
"11","Anticaste Policy Students Forum","social","refreshments","Anticaste Policy Student Forum Welcome Event/Mixer",108,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"12","Anticaste Policy Students Forum","social","supplies","Anticaste Policy Student Forum Welcome Event/Mixer",108,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"13","Anticaste Policy Students Forum","social","equipment","Anticaste Policy Student Forum Welcome Event/Mixer",108,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"14","Anticaste Policy Students Forum","social","services","Anticaste Policy Student Forum Welcome Event/Mixer",108,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"15","Anticaste Policy Students Forum","social","miscellaneous","Anticaste Policy Student Forum Welcome Event/Mixer",108,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"16","Anticaste Policy Students Forum","speaker","refreshments","Affirmative Action Reimagined: U.S. and India's Approaches to Systemic Inequality",325,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"17","Anticaste Policy Students Forum","speaker","supplies","Affirmative Action Reimagined: U.S. and India's Approaches to Systemic Inequality",325,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"18","Anticaste Policy Students Forum","speaker","equipment","Affirmative Action Reimagined: U.S. and India's Approaches to Systemic Inequality",325,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"19","Anticaste Policy Students Forum","speaker","services","Affirmative Action Reimagined: U.S. and India's Approaches to Systemic Inequality",325,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"20","Anticaste Policy Students Forum","speaker","miscellaneous","Affirmative Action Reimagined: U.S. and India's Approaches to Systemic Inequality",325,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"21","Anticaste Policy Students Forum","workshop","refreshments","Challenges of Caste System in Indian Criminal Justice System",233,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"22","Anticaste Policy Students Forum","workshop","supplies","Challenges of Caste System in Indian Criminal Justice System",233,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"23","Anticaste Policy Students Forum","workshop","equipment","Challenges of Caste System in Indian Criminal Justice System",233,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"24","Anticaste Policy Students Forum","workshop","services","Challenges of Caste System in Indian Criminal Justice System",233,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
"25","Anticaste Policy Students Forum","workshop","miscellaneous","Challenges of Caste System in Indian Criminal Justice System",233,NA,NA,NA,NA,NA,NA,NA,100,3,-26,0,-26,NA,NA
